Date,Close
2016-01-27,31.21
2016-01-28,31.5
2016-01-29,32.15
2016-02-01,32.19
2016-02-02,31.27
2016-02-03,30.83
2016-02-04,30.54
2016-02-05,28.77
2016-02-08,27.35
2016-02-09,27.4
2016-02-10,28.02
2016-02-11,27.66
2016-02-12,26.52
2016-02-16,27.86
2016-02-17,28.92
2016-02-18,28.61
2016-02-19,29.15
2016-02-22,29.66
2016-02-23,29.34
2016-02-24,29.22
2016-02-25,29.56
2016-02-26,29.86
2016-02-29,29.15
2016-03-01,30.56
2016-03-02,30.44
2016-03-03,31
2016-03-04,30.69
2016-03-07,30.8
2016-03-08,30.21
2016-03-09,30.08
2016-03-10,30.09
2016-03-11,30.33
2016-03-14,30.74
2016-03-15,31.14
2016-03-16,31.43
2016-03-17,31.01
2016-03-18,31.19
2016-03-21,31.05
2016-03-22,30.91
2016-03-23,30.65
2016-03-24,30.49
2016-03-28,30.97
2016-03-29,31.69
2016-03-30,31.56
2016-03-31,31.71
2016-04-01,32.11
2016-04-04,31.98
2016-04-05,31.35
2016-04-06,31.4
2016-04-07,31.01
2016-04-08,31.31
2016-04-11,30.65
2016-04-12,30.4
2016-04-13,30.37
2016-04-14,30.28
2016-04-15,30.05
2016-04-18,30.49
2016-04-19,30.06
2016-04-20,30.11
2016-04-21,30.2
2016-04-22,30.64
2016-04-25,30.49
2016-04-26,30.67
2016-04-27,31.05
2016-04-28,30.88
2016-04-29,30.58
2016-05-02,31.34
2016-05-03,31.09
2016-05-04,30.64
2016-05-05,30.73
2016-05-06,28.93
2016-05-09,28.85
2016-05-10,29.61
2016-05-11,29.76
2016-05-12,29.49
2016-05-13,29.3
2016-05-16,29.5
2016-05-17,29.35
2016-05-18,29.76
2016-05-19,29.22
2016-05-20,29.9
2016-05-23,29.96
2016-05-24,30.38
2016-05-25,30.45
2016-05-26,30.55
2016-05-27,30.77
2016-05-31,30.8
2016-06-01,30.78
2016-06-02,30.77
2016-06-03,30.49
2016-06-06,30.69
2016-06-07,30.64
2016-06-08,30.17
2016-06-09,30
2016-06-10,29.32
2016-06-13,29.11
2016-06-14,28.91
2016-06-15,29.09
2016-06-16,28.99
2016-06-17,28.88
2016-06-20,29.33
2016-06-21,29.15
2016-06-22,29.07
2016-06-23,29.54
2016-06-24,27.47
2016-06-27,26.45
2016-06-28,27.27
2016-06-29,28.06
2016-06-30,28.08
2016-07-01,28.51
2016-07-05,28.51
2016-07-06,29.56
2016-07-07,29.23
2016-07-08,29.64
2016-07-11,29.84
2016-07-12,30.47
2016-07-13,30.7
2016-07-14,30.85
2016-07-15,30.6
2016-07-18,30.53
2016-07-19,30.41
2016-07-20,30.49
2016-07-21,30.43
2016-07-22,30.85
2016-07-25,31.76
2016-07-26,31.8
2016-07-27,31.34
2016-07-28,32.79
2016-07-29,32.22
2016-08-01,31.24
2016-08-02,31.05
2016-08-03,31.27
2016-08-04,31.57
2016-08-05,32.45
2016-08-08,31.76
2016-08-09,31.55
